player_name,game_date,season,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Wheeler, Zack",2019-03-31,2019,1,6,4,98.1,2291,-1.01,1.41,7.1,1,2
"Alcantara, Sandy",2019-03-31,2019,1,1,3,99.2,2588,-0.66,1.27,5.5,0,2
"Cole, Gerrit",2019-03-29,2019,6,49,6,99.2,2615,-1.16,1.41,6.3,2,2
"Cole, Gerrit",2019-03-29,2019,6,49,2,97.4,2583,-0.94,1.51,6.3,0,1
"Cole, Gerrit",2019-03-29,2019,6,49,1,95.8,2539,-0.67,1.72,6.3,0,0
"Cole, Gerrit",2019-03-29,2019,6,46,3,95.5,2519,-0.82,1.58,6.4,2,0
"Cole, Gerrit",2019-03-29,2019,6,46,1,94.9,2580,-0.79,1.6,6.3,0,0
"Cole, Gerrit",2019-03-29,2019,5,40,4,98.2,2633,-0.93,1.54,6.5,0,2
"Cole, Gerrit",2019-03-29,2019,5,38,1,94.4,2610,-1.04,1.86,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,4,33,3,97.7,2608,-1.03,1.83,6.1,0,2
"Cole, Gerrit",2019-03-29,2019,4,33,1,95.8,2646,-0.87,1.92,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,4,32,4,98,2556,-1.04,1.62,6.4,1,2
"Cole, Gerrit",2019-03-29,2019,4,32,1,95.8,2533,-1,1.57,6.1,0,0
"Cole, Gerrit",2019-03-29,2019,4,31,2,95.2,2425,-0.73,1.72,6.3,1,0
"Cole, Gerrit",2019-03-29,2019,3,27,1,96.5,2486,-0.89,1.68,6.1,0,0
"Cole, Gerrit",2019-03-29,2019,3,26,3,98.4,2655,-0.87,1.75,6.4,1,1
"Cole, Gerrit",2019-03-29,2019,3,26,1,96.4,2535,-1.02,1.7,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,3,25,2,98.2,2456,-0.93,1.4,6.1,0,1
"Cole, Gerrit",2019-03-29,2019,3,24,6,99.2,2599,-1.12,1.5,6.4,3,2
"Cole, Gerrit",2019-03-29,2019,3,24,4,97,2500,-1.13,1.55,6.5,1,2
"Cole, Gerrit",2019-03-29,2019,3,24,2,97.9,2650,-1.09,1.61,6.1,0,1
"Cole, Gerrit",2019-03-29,2019,3,24,1,95.5,2544,-0.96,1.84,6.7,0,0
"Cole, Gerrit",2019-03-29,2019,3,23,2,97.2,2569,-1.3,1.49,6.2,0,1
"Cole, Gerrit",2019-03-29,2019,3,22,2,97.1,2468,-0.84,1.45,6.1,1,0
"Cole, Gerrit",2019-03-29,2019,3,21,3,97.8,2497,-0.84,1.67,6.2,0,2
"Cole, Gerrit",2019-03-29,2019,3,21,2,95.4,2402,-0.96,1.67,6.2,0,1
"Cole, Gerrit",2019-03-29,2019,3,21,1,95.2,2384,-0.84,1.63,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,2,14,6,98.5,2476,-0.73,1.56,6.3,3,2
"Cole, Gerrit",2019-03-29,2019,2,14,5,96,2426,-0.71,1.62,6.3,3,1
"Cole, Gerrit",2019-03-29,2019,2,14,4,95.6,2365,-0.7,1.56,6.4,3,0
"Cole, Gerrit",2019-03-29,2019,2,14,3,96.4,2439,-0.61,1.65,6.6,2,0
"Cole, Gerrit",2019-03-29,2019,2,14,1,96.4,2366,-0.67,1.48,6.7,0,0
"Cole, Gerrit",2019-03-29,2019,2,13,4,98.2,2457,-0.76,1.55,6.1,1,2
"Cole, Gerrit",2019-03-29,2019,2,13,3,97.4,2593,-1.26,1.47,6.8,1,1
"Cole, Gerrit",2019-03-29,2019,2,13,1,96.7,2741,-1.13,1.75,5.9,0,0
"Cole, Gerrit",2019-03-29,2019,2,12,4,97.1,2588,-1.01,1.76,6.1,1,2
"Cole, Gerrit",2019-03-29,2019,2,12,2,95.9,2555,-1.18,1.78,6.1,0,1
"Cole, Gerrit",2019-03-29,2019,2,12,1,95,2523,-0.93,1.96,6.1,0,0
"Cole, Gerrit",2019-03-29,2019,1,6,2,97.2,2567,-0.96,1.47,6.2,0,1
"Cole, Gerrit",2019-03-29,2019,1,6,1,97.3,2501,-0.99,1.6,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,1,5,4,97.8,2573,-1.01,1.63,6.3,1,2
"Cole, Gerrit",2019-03-29,2019,1,5,3,98,2603,-0.95,1.6,6.3,0,2
"Cole, Gerrit",2019-03-29,2019,1,5,2,96.4,2547,-1.13,1.58,6.3,0,1
"Cole, Gerrit",2019-03-29,2019,1,5,1,95.7,2475,-0.98,1.62,6.5,0,0
"Cole, Gerrit",2019-03-29,2019,1,4,8,97,2519,-0.77,1.69,6.3,3,2
"Cole, Gerrit",2019-03-29,2019,1,4,7,97.3,2524,-0.94,1.71,6.1,3,2
"Cole, Gerrit",2019-03-29,2019,1,4,4,96.3,2566,-0.97,1.75,6.1,2,1
"Cole, Gerrit",2019-03-29,2019,1,4,1,96.2,2574,-0.99,1.89,6,0,0
"Cole, Gerrit",2019-04-09,2019,7,54,4,96,2531,-0.86,1.46,6.2,0,2
"Cole, Gerrit",2019-04-09,2019,7,54,3,96.8,2438,-0.8,1.61,6.2,0,2
"Cole, Gerrit",2019-04-09,2019,7,53,4,95.7,2512,-1.11,1.59,6,1,2
"Cole, Gerrit",2019-04-09,2019,7,53,1,95.1,2547,-1.05,1.55,6,0,0
"Cole, Gerrit",2019-04-09,2019,7,52,2,95.9,2459,-1.09,1.55,5.8,1,0
"Cole, Gerrit",2019-04-09,2019,7,52,1,95.2,2452,-0.98,1.56,6.5,0,0
"Cole, Gerrit",2019-04-09,2019,6,47,9,99,2609,-0.82,1.49,6.5,2,2
"Cole, Gerrit",2019-04-09,2019,6,47,6,98,2542,-0.96,1.25,6.3,2,2
"Cole, Gerrit",2019-04-09,2019,6,47,3,97.5,2550,-0.99,1.64,6.6,1,1
"Cole, Gerrit",2019-04-09,2019,6,47,2,97.9,2629,-1.09,1.5,6.3,0,1
"Cole, Gerrit",2019-04-09,2019,6,47,1,97.3,2550,-0.9,1.45,6.2,0,0
"Cole, Gerrit",2019-04-09,2019,6,46,5,98.2,2547,-1.08,1.38,6.2,1,2
"Cole, Gerrit",2019-04-09,2019,6,46,3,98.3,2543,-0.87,1.34,6.3,1,1
"Cole, Gerrit",2019-04-09,2019,6,46,1,97.3,2581,-1.23,1.39,6.5,0,0
"Cole, Gerrit",2019-04-09,2019,6,45,2,97.1,2592,-1.18,1.5,6.2,1,0
"Cole, Gerrit",2019-04-09,2019,6,45,1,98.2,2671,-1.23,1.52,6.3,0,0
"Cole, Gerrit",2019-04-09,2019,6,43,2,98.5,2466,-0.71,1.52,6.1,0,1
"Cole, Gerrit",2019-04-09,2019,6,42,4,96.8,2473,-0.85,1.55,6.5,3,0
"Cole, Gerrit",2019-04-09,2019,6,42,3,95.5,2442,-1.07,1.38,6.2,2,0
"Cole, Gerrit",2019-04-09,2019,6,42,2,96.1,2554,-1.12,1.33,6.5,1,0
"Cole, Gerrit",2019-04-09,2019,6,42,1,96.9,2486,-1.07,1.48,6.4,0,0
"Cole, Gerrit",2019-04-09,2019,5,36,4,97.4,2499,-0.93,1.42,6.5,2,1
"Cole, Gerrit",2019-04-09,2019,5,36,2,96.7,2667,-1.13,1.55,6.3,1,0
"Cole, Gerrit",2019-04-09,2019,5,36,1,96.3,2642,-1.01,1.56,6.2,0,0
"Cole, Gerrit",2019-04-09,2019,5,35,1,97,2559,-0.94,1.62,5.9,0,0
"Cole, Gerrit",2019-04-09,2019,5,34,3,96.6,2498,-1.02,1.53,6,2,0
"Cole, Gerrit",2019-04-09,2019,5,34,2,98,2559,-0.85,1.69,5.9,1,0
"Cole, Gerrit",2019-04-09,2019,4,29,3,98.6,2434,-0.83,1.66,6.1,1,1
"Cole, Gerrit",2019-04-09,2019,4,28,2,97.7,2493,-0.93,1.6,6.2,0,1
"Cole, Gerrit",2019-04-09,2019,4,27,1,96.5,2664,-1.3,1.25,6.1,0,0
"Cole, Gerrit",2019-04-09,2019,3,20,6,99.7,2420,-0.91,1.64,6.2,3,2
"Cole, Gerrit",2019-04-09,2019,3,20,4,99.4,2511,-0.97,1.65,6.1,1,2
"Cole, Gerrit",2019-04-09,2019,3,20,3,97.9,2421,-0.91,1.32,6.1,1,1
"Cole, Gerrit",2019-04-09,2019,3,19,1,96,2415,-1.06,1.34,6.2,0,0
"Cole, Gerrit",2019-04-09,2019,3,18,1,96.9,2426,-0.99,1.53,6.1,0,0
"Cole, Gerrit",2019-04-09,2019,3,17,5,96.4,2434,-0.84,1.61,6,3,1
"Cole, Gerrit",2019-04-09,2019,3,17,3,96.1,2540,-0.87,1.94,6.1,1,1
"Cole, Gerrit",2019-04-09,2019,3,17,2,95,2550,-0.98,1.66,6.1,1,0
"Cole, Gerrit",2019-04-09,2019,3,17,1,93.4,2563,-1.17,1.41,6.4,0,0
"Cole, Gerrit",2019-04-09,2019,2,10,5,99,2527,-0.78,1.7,6.2,2,2
"Cole, Gerrit",2019-04-09,2019,2,10,3,97,2370,-0.86,1.51,6.6,2,0
"Cole, Gerrit",2019-04-09,2019,2,9,1,95.8,2492,-0.92,1.51,6.1,0,0
"Cole, Gerrit",2019-04-09,2019,2,8,2,96,2466,-0.9,1.61,6,0,1
"Cole, Gerrit",2019-04-09,2019,1,4,5,96.6,2539,-0.95,1.66,6.3,3,1
"Cole, Gerrit",2019-04-09,2019,1,4,3,96.5,2564,-0.78,1.75,6.2,1,1
"Cole, Gerrit",2019-04-09,2019,1,4,1,95.9,2559,-0.7,1.71,6.3,0,0
"Cole, Gerrit",2019-04-09,2019,1,3,1,96.3,2705,-0.97,1.58,6,0,0
"Cole, Gerrit",2019-04-09,2019,1,2,1,95.3,2399,-0.99,1.58,5.9,0,0
"Cole, Gerrit",2019-04-09,2019,1,1,3,97.1,2505,-1.03,1.66,6.1,0,2
"Cole, Gerrit",2019-04-09,2019,1,1,2,95.7,2558,-1.15,1.64,6.2,0,1
"Cole, Gerrit",2019-04-09,2019,1,1,1,95.3,2598,-0.85,1.78,6.1,0,0
"Wheeler, Zack",2019-04-07,2019,5,39,5,96.2,2345,-0.69,1.49,7.2,3,1
"Wheeler, Zack",2019-04-07,2019,5,39,4,96.4,2436,-0.91,1.34,6.6,2,1
"Wheeler, Zack",2019-04-07,2019,5,39,3,95.6,2355,-1.03,1.33,7.4,1,1
"Wheeler, Zack",2019-04-07,2019,5,38,6,97,2407,-0.89,1.35,6.6,2,2
"Wheeler, Zack",2019-04-07,2019,5,38,4,95.6,2368,-0.73,1.4,7,2,1
"Wheeler, Zack",2019-04-07,2019,5,37,2,95.8,2400,-0.77,1.34,6.8,0,1
"Wheeler, Zack",2019-04-07,2019,5,37,1,95.5,2249,-1.16,1.33,6.8,0,0
"Wheeler, Zack",2019-04-07,2019,5,36,6,96.6,2344,-0.92,1.22,6.8,3,2
"Wheeler, Zack",2019-04-07,2019,5,36,5,96.8,2316,-0.95,1.25,6.8,3,1
"Wheeler, Zack",2019-04-07,2019,5,36,1,95.5,2350,-0.92,1.14,6.7,0,0
"Wheeler, Zack",2019-04-07,2019,5,35,3,96.4,2368,-0.79,1.27,6.5,1,1
"Wheeler, Zack",2019-04-07,2019,5,35,1,96.4,2355,-0.99,1.33,6.5,0,0
"Wheeler, Zack",2019-04-07,2019,5,34,3,95.3,2389,-1.02,1.35,6.5,1,1
"Wheeler, Zack",2019-04-07,2019,4,30,2,97,2397,-0.77,1.44,6.9,1,0
"Wheeler, Zack",2019-04-07,2019,4,29,1,96.3,2432,-0.91,1.43,7.2,0,0
"Wheeler, Zack",2019-04-07,2019,4,28,3,96.6,2408,-0.69,1.37,6.9,1,1
"Wheeler, Zack",2019-04-07,2019,3,23,2,96.4,2460,-1.05,1.36,6.9,0,1
"Wheeler, Zack",2019-04-07,2019,3,21,3,97.1,2399,-0.84,1.27,6.8,0,2
"Wheeler, Zack",2019-04-07,2019,3,21,2,96.9,2390,-0.83,1.22,6.8,0,1
"Wheeler, Zack",2019-04-07,2019,2,15,1,96.9,2515,-0.8,1.42,6.9,0,0
"Wheeler, Zack",2019-04-07,2019,2,13,7,97.3,2413,-1.17,1.34,6.4,3,2
"Wheeler, Zack",2019-04-07,2019,2,13,5,96.3,2371,-0.83,1.5,6.5,3,1
"Wheeler, Zack",2019-04-07,2019,2,13,4,95.9,2349,-0.71,1.43,7,3,0
"Wheeler, Zack",2019-04-07,2019,2,13,3,97.2,2417,-0.64,1.28,7.1,2,0
"Wheeler, Zack",2019-04-07,2019,2,13,2,96.5,2444,-1.02,1.3,6.9,1,0
"Wheeler, Zack",2019-04-07,2019,2,12,3,97.4,2449,-0.88,1.39,6.7,2,0
"Wheeler, Zack",2019-04-07,2019,2,12,2,98,2438,-0.88,1.36,6.6,1,0
"Wheeler, Zack",2019-04-07,2019,2,11,4,98.5,2434,-1.04,1.21,7.1,2,1
"Wheeler, Zack",2019-04-07,2019,2,11,3,97.5,2415,-0.7,1.44,7,1,1
"Wheeler, Zack",2019-04-07,2019,2,11,2,97.2,2414,-0.97,1.19,6.6,1,0
"Wheeler, Zack",2019-04-07,2019,2,11,1,97.7,2369,-0.6,1.25,7.3,0,0
"Wheeler, Zack",2019-04-07,2019,2,10,5,97.2,2389,-0.9,1.34,6.7,3,1
"Wheeler, Zack",2019-04-07,2019,2,10,4,97.7,2273,-1.18,1.45,6.7,2,1
"Wheeler, Zack",2019-04-07,2019,2,8,1,98.4,2446,-0.63,1.52,6.9,0,0
"Wheeler, Zack",2019-04-07,2019,2,7,3,98.6,2396,-0.88,1.18,7.1,1,1
