player_name,game_date,season,pitch_type,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Cole, Gerrit",2019-04-03,2019,KC,1,9,1,81.9,2914,1.04,-1.44,5.7,0,0
"Cole, Gerrit",2019-04-03,2019,SL,1,8,4,89.3,2592,0.54,0.22,5.8,1,2
"Cole, Gerrit",2019-04-03,2019,SL,1,8,3,87.6,2688,0.77,0.08,5.6,1,1
"Cole, Gerrit",2019-04-03,2019,FF,1,8,2,97.7,2528,-1.1,1.32,6,1,0
"Cole, Gerrit",2019-04-03,2019,FF,1,8,1,95.8,2510,-0.94,1.47,6,0,0
"Cole, Gerrit",2019-04-03,2019,FF,1,7,1,95.4,2546,-0.55,1.36,6.4,0,0
"Cole, Gerrit",2019-04-03,2019,KC,1,6,4,82.5,2957,1.43,-1.16,5.7,1,2
"Cole, Gerrit",2019-04-03,2019,FF,1,6,3,96.5,2598,-0.8,1.8,5.8,1,1
"Cole, Gerrit",2019-04-03,2019,SL,1,6,2,88.6,2643,0.55,0.21,5.7,1,0
"Cole, Gerrit",2019-04-03,2019,FF,1,6,1,96.3,2634,-1.05,1.5,5.8,0,0
"Cole, Gerrit",2019-04-03,2019,FF,1,5,5,98.8,2563,-0.66,1.49,6.3,2,2
"Cole, Gerrit",2019-04-03,2019,SL,1,5,4,89.3,2560,0.25,0.59,5.9,2,1
"Cole, Gerrit",2019-04-03,2019,SL,1,5,3,88.8,2596,0.21,0.5,5.6,1,1
"Cole, Gerrit",2019-04-03,2019,FF,1,5,2,95.3,2578,-0.98,1.87,6.2,1,0
"Cole, Gerrit",2019-04-03,2019,FF,1,5,1,95.9,2710,-0.89,1.82,5.9,0,0
"Cole, Gerrit",2019-03-29,2019,SL,6,49,8,90.1,2697,0.41,0.49,5.8,3,2
"Cole, Gerrit",2019-03-29,2019,SL,6,49,7,89.1,2533,0.33,0.28,5.8,3,2
"Cole, Gerrit",2019-03-29,2019,FF,6,49,6,99.2,2615,-1.16,1.41,6.3,2,2
